"Cell_Line","Temperature","Time","Rep","Area","Batch","Incubator"
"X2931",25.2,26,6,4.01707545165405,"1","T"
"X2931",25.2,26,7,2.69442801699008,"1","T"
"X2931",25.2,32,0,5.25644737236384,"1","T"
"X2931",25.2,32,1,7.05235214794622,"1","T"
"X2931",25.2,32,2,8.10815536114652,"1","T"
"X2931",25.2,32,3,3.9532567394722,"1","T"
"X2931",25.2,32,4,5.7230872370576,"1","T"
"X2931",25.2,32,5,5.68677407752305,"1","T"
"X2931",25.2,32,6,6.10046331378539,"1","T"
"X2931",25.2,32,7,4.54650423100149,"1","T"
"X2931",25.2,44,0,11.5339607887399,"1","T"
"X2931",25.2,44,1,14.404301273368,"1","T"
"X2931",25.2,44,2,16.0470852476093,"1","T"
"X2931",25.2,44,3,8.55052430330658,"1","T"
"X2931",25.2,44,4,10.694638572114,"1","T"
"X2931",25.2,44,5,9.28983794858414,"1","T"
"X2931",25.2,44,6,12.6044178583467,"1","T"
"X2931",25.2,44,7,9.85158257238275,"1","T"
"X2931",25.2,50,0,15.578709045965,"1","T"
"X2931",25.2,50,1,19.3436606523315,"1","T"
"X2931",25.2,50,2,20.6329705284816,"1","T"
"X2931",25.2,50,3,11.6856231673515,"1","T"
"X2931",25.2,50,4,13.8533657221766,"1","T"
"X2931",25.2,50,5,12.0738149822242,"1","T"
"X2931",25.2,50,6,16.9920233944599,"1","T"
"X2931",25.2,50,7,13.5465965405874,"1","T"
"X2931",25.2,56,0,19.8707879812009,"1","T"
"X2931",25.2,56,1,26.3171195152911,"1","T"
"X2931",25.2,56,2,27.4221898059103,"1","T"
"X2931",25.2,56,3,15.5388679721512,"1","T"
"X2931",25.2,56,4,19.4029894026655,"1","T"
"X2931",25.2,56,5,17.390880083537,"1","T"
"X2931",25.2,56,6,23.3492172523899,"1","T"
"X2931",25.2,56,7,18.4237322092331,"1","T"
"X2931",25.2,68,0,28.5530692522264,"1","T"
"X2931",25.2,68,1,43.3713484321931,"1","T"
"X2931",25.2,68,2,43.5388468352521,"1","T"
"X2931",25.2,68,3,27.109266648777,"1","T"
"X2931",25.2,68,4,32.4924902820393,"1","T"
"X2931",25.2,68,5,32.2919607595261,"1","T"
"X2931",25.2,68,6,37.5539874861284,"1","T"
"X2931",25.2,68,7,27.817377298605,"1","T"
"X2931",25.2,74,0,36.7056620987069,"1","T"
"X2931",25.2,74,1,52.8168927325957,"1","T"
"X2931",25.2,74,2,52.1288509628435,"1","T"
"X2931",25.2,74,3,34.116101873084,"1","T"
"X2931",25.2,74,4,39.9236541509418,"1","T"
"X2931",25.2,74,5,39.8748696161116,"1","T"
"X2931",25.2,74,6,45.4799981201509,"1","T"
"X2931",25.2,74,7,37.6240545781118,"1","T"
"X2931",25.2,80,0,45.8501185912906,"1","T"
"X2931",25.2,80,1,62.309024871719,"1","T"
"X2931",25.2,80,2,61.245487407271,"1","T"
"X2931",25.2,80,3,42.615690606535,"1","T"
"X2931",25.2,80,4,48.3580022506699,"1","T"
"X2931",25.2,80,5,48.0455633371262,"1","T"
"X2931",25.2,80,6,53.8203194229458,"1","T"
"X2931",25.2,80,7,47.0077989869396,"1","T"
"X2931",25.2,92,0,66.0630764446455,"1","T"
"X2931",25.2,92,1,81.2423025326623,"1","T"
"X2931",25.2,92,2,80.4014552410112,"1","T"
"X2931",25.2,92,3,61.5205619845565,"1","T"
"X2931",25.2,92,4,66.9585923934332,"1","T"
"X2931",25.2,92,5,65.9980404795566,"1","T"
"X2931",25.2,92,6,71.3304874462419,"1","T"
"X2931",25.2,92,7,67.1753039977461,"1","T"
"X2931",25.2,98,0,75.9319721759821,"1","T"
"X2931",25.2,98,1,90.8298211808557,"1","T"
"X2931",25.2,98,2,90.2085438379207,"1","T"
"X2931",25.2,98,3,71.7188350115349,"1","T"
"X2931",25.2,98,4,76.666902059258,"1","T"
"X2931",25.2,98,5,75.5098480878112,"1","T"
"X2931",25.2,98,6,80.2542332762783,"1","T"
"X2931",25.2,98,7,77.4413926667245,"1","T"
"X2931",25.2,104,0,85.5288009103926,"1","T"
"X2931",25.2,104,1,100.190868675925,"1","T"
"X2931",25.2,104,2,99.6474289521603,"1","T"
"X2931",25.2,104,3,81.6626899989332,"1","T"
"X2931",25.2,104,4,86.3381049612984,"1","T"
"X2931",25.2,104,5,85.1061671221503,"1","T"
"X2931",25.2,104,6,89.102193005968,"1","T"
"X2931",25.2,104,7,87.9403087186415,"1","T"
"X2931",25.2,127,0,122.501093905581,"1","T"
"X2931",25.2,127,1,136.508216075223,"1","T"
"X2931",25.2,127,2,135.580531091492,"1","T"
"X2931",25.2,127,3,119.820042512956,"1","T"
"X2931",25.2,127,4,122.615892120772,"1","T"
"X2931",25.2,127,5,121.096028453608,"1","T"
"X2931",25.2,127,6,122.603158249059,"1","T"
"X2931",25.2,127,7,127.685786345972,"1","T"
"X2931",25.2,151,0,162.397104947347,"1","T"
"X2931",25.2,151,1,175.588624917306,"1","T"
"X2931",25.2,151,2,173.230419857369,"1","T"
"X2931",25.2,151,3,159.39690015647,"1","T"
"X2931",25.2,151,4,160.78997290575,"1","T"
"X2931",25.2,151,5,158.035442631056,"1","T"
"X2931",25.2,151,6,157.764523017139,"1","T"
"X2931",25.2,151,7,168.899822266412,"1","T"
"X2931",25.2,164,0,185.589972567979,"1","T"
"X2931",25.2,164,1,196.090845219649,"1","T"
"X2931",25.2,164,2,193.216557707054,"1","T"
"X2931",25.2,164,3,182.29681444148,"1","T"
"X2931",25.2,164,4,181.335421059516,"1","T"
"X2931",25.2,164,5,177.756207563403,"1","T"
"X2931",25.2,164,6,176.31891847261,"1","T"
"X2931",25.2,164,7,191.62132075487,"1","T"
"X2931",25.3,0,0,0,"4","M"
"X2931",25.3,0,1,0,"4","M"
"X2931",25.3,0,2,0,"4","M"
"X2931",25.3,0,3,0,"4","M"
"X2931",25.3,0,4,0,"4","M"
"X2931",25.3,0,5,0,"4","M"
