"","Condition","Temperature","Colony","Rep","OD","Area"
"334","P","37","10","4",1.176,81.1578172905961
"335","P","37","10","5",0.993,77.7101860224004
"336","P","20","10","1",1.189,86.7322112425115
"337","P","20","10","2",1.261,89.4376879349684
"338","P","20","10","3",1.115,87.8689694246985
"339","P","20","10","4",1.49,87.5038586798102
"340","P","20","10","5",1.067,79.130526605347
"341","P","37","11","1",0.971,71.3467071362313
"342","P","37","11","2",1.036,79.90264622518
"343","P","37","11","3",1.028,78.4623609521375
"344","P","37","11","4",0.882,68.1224723464154
"345","P","37","11","5",1.04,78.7919522468394
"346","P","20","11","1",1.038,76.9859930288437
"347","P","20","11","2",0.816,65.9676509379115
"348","P","20","11","3",0.738,63.1531541800689
"349","P","20","11","4",0.929,82.9078807547277
"350","P","20","11","5",0.657,62.913682432587
"351","P","37","12","1",0.473,44.7355676718763
"352","P","37","12","2",0.964,76.9340004285418
"353","P","37","12","3",0.405,44.1920637735506
"354","P","37","12","4",0.589,57.0233209549603
"355","P","37","12","5",1.334,95.8747080766322
"356","P","20","12","1",0.696,69.0064602496784
"357","P","20","12","2",1.182,67.3938895182897
"358","P","20","12","3",0.725,66.89246677947
"359","P","20","12","4",0.755,69.2261173265377
"360","P","20","12","5",0.992,63.3240846032056
"361","25S","37","1","1",0.721,60.7165597615006
"362","25S","37","1","2",0.576,56.0895661057336
"363","25S","37","1","3",0.553,53.2876796628996
"364","25S","37","1","4",0.614,55.2622300292188
"365","25S","37","1","5",0.718,58.1892368741341
"366","25S","20","1","1",1.088,87.9611047761532
"367","25S","20","1","2",1.007,77.8475727288055
"368","25S","20","1","3",0.95,75.6210003167034
"369","25S","20","1","4",1.04,79.0413096128475
"370","25S","20","1","5",1.008,66.6242627562993
"371","25S","37","2","1",0.578,52.7567492469767
"372","25S","37","2","2",0.545,55.6392106935053
"373","25S","37","2","3",0.511,48.1799152405562
"374","25S","37","2","4",0.6,56.163457769332
"375","25S","37","2","5",0.671,54.6154558885276
"376","25S","20","2","1",1.047,69.7877719035695
"377","25S","20","2","2",1.002,69.4107942939578
"378","25S","20","2","3",1.018,66.531625731137
"379","25S","20","2","4",1.361,73.9299499078784
"380","25S","20","2","5",0.893,64.7242032305529
"381","25S","37","3","1",0.691,60.4860840233287
"382","25S","37","3","2",0.667,58.9470642662818
"383","25S","37","3","3",0.64,59.0504248808049
"384","25S","37","3","4",0.659,58.8191677728485
"385","25S","37","3","5",0.638,57.3938159648731
"386","25S","20","3","1",1.001,64.7413161827897
"387","25S","20","3","2",0.993,59.605724261151
"388","25S","20","3","3",0.907,61.9678122771244
"389","25S","20","3","4",1.076,69.2027138762688
"390","25S","20","3","5",0.941,66.7273142381103
"391","25S","37","4","1",0.707,60.816756518239
"392","25S","37","4","2",0.718,64.350729778325
"393","25S","37","4","3",0.621,56.1720602772516
"394","25S","37","4","4",0.623,61.9579497132678
"395","25S","37","4","5",0.649,56.2539275599128
"396","25S","20","4","1",0.941,72.8346679725825
"397","25S","20","4","2",0.964,67.2834250668916
"398","25S","20","4","3",0.985,64.2212210710556
"399","25S","20","4","4",1.202,79.164003851542
"400","25S","20","4","5",1.016,67.6199073055666
"401","25S","37","5","1",0.714,63.1616308743016
"402","25S","37","5","2",0.564,54.0601722336449
"403","25S","37","5","3",0.659,61.3877538317236
"404","25S","37","5","4",0.55,54.312019174753
"405","25S","37","5","5",0.593,50.4372623765513
"406","25S","20","5","1",0.974,72.4688142832822
"407","25S","20","5","2",0.956,71.9726893168832
"408","25S","20","5","3",1.008,71.8935714545408
"409","25S","20","5","4",0.969,73.4259723821558
"410","25S","20","5","5",1.161,73.5516003587485
"411","25S","37","6","1",0.537,48.7695687007563
"412","25S","37","6","2",0.556,49.7368961391302
"413","25S","37","6","3",0.49,47.1169909658342
"414","25S","37","6","4",0.562,49.5602297093548
"415","25S","37","6","5",0.557,49.4676716111073
"416","25S","20","6","1",1.068,63.1131263091402
"417","25S","20","6","2",0.835,63.0589551964838
"418","25S","20","6","3",0.988,77.7794689644072
"419","25S","20","6","4",0.974,73.3455167488328
"420","25S","20","6","5",1.075,72.2033908863056
"421","25S","37","7","1",0.718,62.8667009097994
"422","25S","37","7","2",0.583,57.271850175708
"423","25S","37","7","3",0.568,53.5221374478056
"424","25S","37","7","4",0.545,53.5759051550408
"425","25S","37","7","5",0.608,55.5052707627602
"426","25S","20","7","1",0.924,60.9020709067546
"427","25S","20","7","2",0.889,66.2240843010947
"428","25S","20","7","3",0.894,67.1908991275483
"429","25S","20","7","4",0.93,66.0566032279882
"430","25S","20","7","5",0.977,69.6760371667982
"431","25S","37","8","1",0.711,65.6807950485147
"432","25S","37","8","2",0.7,58.4632417857693
"433","25S","37","8","3",0.697,57.1503025252107
"434","25S","37","8","4",0.764,59.5259915943674
"435","25S","37","8","5",0.728,59.4267683633
"436","25S","20","8","1",1.031,67.9079964729194
"437","25S","20","8","2",0.935,63.9446687891622
"438","25S","20","8","3",1.018,67.954010421665
"439","25S","20","8","4",1.019,64.3364029613809
"440","25S","20","8","5",1.103,70.4339334255301
"441","25S","37","9","1",0.636,57.2027154522676
"442","25S","37","9","2",0.675,60.5603170959333
"443","25S","37","9","3",0.587,54.9445176794876
"444","25S","37","9","4",0.602,61.8141586275027
"445","25S","37","9","5",0.664,63.1318729964486
"446","25S","20","9","1",0.821,61.3252830676292
"447","25S","20","9","2",1.005,59.5639058856128
"448","25S","20","9","3",1.028,65.0936505024445
"449","25S","20","9","4",0.851,71.717024640752
"450","25S","20","9","5",0.927,68.997352110363
"451","25S","37","10","1",0.557,55.3660379146957
"452","25S","37","10","2",0.574,51.9558099786433
"453","25S","37","10","3",0.605,59.9948466300714
"454","25S","37","10","4",0.584,50.1365445267455
"455","25S","37","10","5",0.565,54.1021406193715
"456","25S","20","10","1",1.037,76.847120438453
"457","25S","20","10","2",1.179,79.7865575755433
"458","25S","20","10","3",1.042,76.7579114506824
"459","25S","20","10","4",1.189,77.6540964108834
"460","25S","20","10","5",1.104,74.5325166355485
"461","25S","37","11","1",0.61,55.3885875171985
"462","25S","37","11","2",0.649,58.0359828659479
"463","25S","37","11","3",0.593,58.1103005759269
"464","25S","37","11","4",0.64,59.3509889374437
"465","25S","37","11","5",0.599,56.3001754986174
"466","25S","20","11","1",1.089,64.4680070893959
"467","25S","20","11","2",0.91,70.8337844198168
"468","25S","20","11","3",0.985,75.4758507122114
"469","25S","20","11","4",1.057,69.0314939527744
"470","25S","20","11","5",1.036,71.9302092814707
"471","25S","37","12","1",0.582,58.2338807932772
"472","25S","37","12","2",0.686,60.9699700688476
"473","25S","37","12","3",0.558,54.8058703459115
"474","25S","37","12","4",0.604,58.4754413866931
"475","25S","37","12","5",0.695,66.245258183691
"476","25S","20","12","1",0.896,66.4641423904003
"477","25S","20","12","2",0.804,56.5262965863141
"478","25S","20","12","3",0.905,65.7000692642119
"479","25S","20","12","4",0.796,68.0621087353452
"480","25S","20","12","5",0.864,62.2135112410269
