"","Cell_Line","Temperature","Time","Rep","Area","Batch","Incubator","Day"
"171","CC1690",20,22,2,3.95047626782337,"2","T",NA
"172","CC1690",20,22,3,4.25831889426971,"2","T",NA
"173","CC1690",20,22,4,4.88707446802222,"2","T",NA
"174","CC1690",20,22,5,3.01015495932916,"2","T",NA
"175","CC1690",20,22,6,3.07288101432132,"2","T",NA
"176","CC1690",20,22,7,2.77811898622542,"2","T",NA
"177","CC1690",20,28,0,4.47840918333929,"2","T","1"
"178","CC1690",20,28,1,9.02817148986897,"2","T","1"
"179","CC1690",20,28,2,5.51162998939231,"2","T","1"
"180","CC1690",20,28,3,6.6345951645461,"2","T","1"
"181","CC1690",20,28,4,6.62690930406955,"2","T","1"
"182","CC1690",20,28,5,4.1461970102953,"2","T","1"
"183","CC1690",20,28,6,4.45776143792094,"2","T","1"
"184","CC1690",20,28,7,3.95289421046591,"2","T","1"
"185","CC1690",20,34,0,6.33168186945108,"2","T",NA
"186","CC1690",20,34,1,13.3116715309649,"2","T",NA
"187","CC1690",20,34,2,7.4294466315849,"2","T",NA
"188","CC1690",20,34,3,9.54458380588276,"2","T",NA
"189","CC1690",20,34,4,8.82966958793802,"2","T",NA
"190","CC1690",20,34,5,5.6747721337188,"2","T",NA
"191","CC1690",20,34,6,6.31308843311467,"2","T",NA
"192","CC1690",20,34,7,5.52522735945509,"2","T",NA
"193","CC1690",20,46,0,12.6994979742569,"2","T",NA
"194","CC1690",20,46,1,26.570542370796,"2","T",NA
"195","CC1690",20,46,2,12.3988324642996,"2","T",NA
"196","CC1690",20,46,3,17.3240624775416,"2","T",NA
"197","CC1690",20,46,4,15.4213677393872,"2","T",NA
"198","CC1690",20,46,5,10.453817889381,"2","T",NA
"199","CC1690",20,46,6,11.86253864804,"2","T",NA
"200","CC1690",20,46,7,10.307485116094,"2","T",NA
"201","CC1690",20,52,0,17.7072925486041,"2","T","2"
"202","CC1690",20,52,1,35.6618748034404,"2","T","2"
"203","CC1690",20,52,2,16.5076194963317,"2","T","2"
"204","CC1690",20,52,3,23.5204692731889,"2","T","2"
"205","CC1690",20,52,4,21.7105004340657,"2","T","2"
"206","CC1690",20,52,5,13.652678537373,"2","T","2"
"207","CC1690",20,52,6,16.1528277209003,"2","T","2"
"208","CC1690",20,52,7,13.7895803781897,"2","T","2"
"209","CC1690",20,58,0,24.1265687166546,"2","T",NA
"210","CC1690",20,58,1,46.2779462179626,"2","T",NA
"211","CC1690",20,58,2,22.4543804947945,"2","T",NA
"212","CC1690",20,58,3,31.3321783855629,"2","T",NA
"213","CC1690",20,58,4,30.3964750616265,"2","T",NA
"214","CC1690",20,58,5,17.4815622923292,"2","T",NA
"215","CC1690",20,58,6,22.6629437971794,"2","T",NA
"216","CC1690",20,58,7,18.9725117236346,"2","T",NA
"217","CC1690",20,70,0,40.7505296344431,"2","T",NA
"218","CC1690",20,70,1,69.4232212149562,"2","T",NA
"219","CC1690",20,70,2,39.4272048988204,"2","T",NA
"220","CC1690",20,70,3,48.9250521997968,"2","T",NA
"221","CC1690",20,70,4,48.3003067892692,"2","T",NA
"222","CC1690",20,70,5,28.8361903340669,"2","T",NA
"223","CC1690",20,70,6,38.2519814268236,"2","T",NA
"224","CC1690",20,70,7,34.0805815611349,"2","T",NA
"225","CC1690",20,76,0,50.475816920904,"2","T","3"
"226","CC1690",20,76,1,82.9134224362985,"2","T","3"
"227","CC1690",20,76,2,48.9842655738978,"2","T","3"
"228","CC1690",20,76,3,58.2258649027184,"2","T","3"
"229","CC1690",20,76,4,58.8234160452286,"2","T","3"
"230","CC1690",20,76,5,36.4397468432719,"2","T","3"
"231","CC1690",20,76,6,47.1273217362734,"2","T","3"
"232","CC1690",20,76,7,42.4413996762512,"2","T","3"
"233","CC1690",20,82,0,60.8541273182703,"2","T",NA
"234","CC1690",20,82,1,97.357384793108,"2","T",NA
"235","CC1690",20,82,2,58.9770296562643,"2","T",NA
"236","CC1690",20,82,3,67.8605899321192,"2","T",NA
"237","CC1690",20,82,4,69.6447502988271,"2","T",NA
"238","CC1690",20,82,5,44.320927025379,"2","T",NA
"239","CC1690",20,82,6,57.01047125821,"2","T",NA
"240","CC1690",20,82,7,51.6072347709325,"2","T",NA
"241","CC1690",20,94,0,81.7613820662281,"2","T",NA
"242","CC1690",20,94,1,125.513513723466,"2","T",NA
"243","CC1690",20,94,2,78.5008734295273,"2","T",NA
"244","CC1690",20,94,3,87.4711544839119,"2","T",NA
"245","CC1690",20,94,4,91.0623359004114,"2","T",NA
"246","CC1690",20,94,5,60.939720864654,"2","T",NA
"247","CC1690",20,94,6,77.0121793682908,"2","T",NA
"248","CC1690",20,94,7,70.745058138805,"2","T",NA
"249","CC1690",20,100,0,92.5654063230549,"2","T","4"
"250","CC1690",20,100,1,139.548231545266,"2","T","4"
"251","CC1690",20,100,2,88.9703203300358,"2","T","4"
"252","CC1690",20,100,3,97.5372946678169,"2","T","4"
"253","CC1690",20,100,4,102.198536325872,"2","T","4"
"254","CC1690",20,100,5,69.5549074573569,"2","T","4"
"255","CC1690",20,100,6,87.353954432755,"2","T","4"
"256","CC1690",20,100,7,80.751532279588,"2","T","4"
"257","CC1690",20,106,0,103.464251984692,"2","T",NA
"258","CC1690",20,106,1,153.434372106208,"2","T",NA
"259","CC1690",20,106,2,100.70460088883,"2","T",NA
"260","CC1690",20,106,3,107.633393775281,"2","T",NA
"261","CC1690",20,106,4,113.174702320913,"2","T",NA
"262","CC1690",20,106,5,78.3352387120442,"2","T",NA
"263","CC1690",20,106,6,97.7192675346406,"2","T",NA
"264","CC1690",20,106,7,90.8210037283912,"2","T",NA
"265","CC1690",25,0,0,0,"2","T","0"
"266","CC1690",25,0,1,0,"2","T","0"
"267","CC1690",25,0,2,0,"2","T","0"
"268","CC1690",25,0,3,0,"2","T","0"
"269","CC1690",25,0,4,0,"2","T","0"
"270","CC1690",25,0,5,0,"2","T","0"
"271","CC1690",25,0,6,0,"2","T","0"
"272","CC1690",25,0,7,0,"2","T","0"
"273","CC1690",25,5,0,1.2325,"2","T",NA
"274","CC1690",25,5,1,1.0325,"2","T",NA
"275","CC1690",25,5,2,0.6,"2","T",NA
"276","CC1690",25,5,3,0.4575,"2","T",NA
"277","CC1690",25,5,4,0.52,"2","T",NA
"278","CC1690",25,5,5,0.54,"2","T",NA
"279","CC1690",25,5,6,0.7475,"2","T",NA
"280","CC1690",25,5,7,0.985,"2","T",NA
"281","CC1690",25,11,0,2.8919211765013,"2","T",NA
"282","CC1690",25,11,1,2.52994141790735,"2","T",NA
"283","CC1690",25,11,2,1.61785023377381,"2","T",NA
"284","CC1690",25,11,3,1.13983769331296,"2","T",NA
"285","CC1690",25,11,4,1.30806664268987,"2","T",NA
"286","CC1690",25,11,5,1.26763758541735,"2","T",NA
"287","CC1690",25,11,6,1.76257148220552,"2","T",NA
"288","CC1690",25,11,7,2.4907461495274,"2","T",NA
"289","CC1690",25,23,0,8.10625937436821,"2","T",NA
"290","CC1690",25,23,1,6.9070488793011,"2","T",NA
"291","CC1690",25,23,2,5.58940706636143,"2","T",NA
"292","CC1690",25,23,3,4.01169050308481,"2","T",NA
"293","CC1690",25,23,4,3.94793861126616,"2","T",NA
"294","CC1690",25,23,5,3.42016255220705,"2","T",NA
"295","CC1690",25,23,6,5.61604759857863,"2","T",NA
"296","CC1690",25,23,7,8.29603244354031,"2","T",NA
"297","CC1690",25,29,0,12.1591220748551,"2","T","1"
"298","CC1690",25,29,1,10.6786990676199,"2","T","1"
"299","CC1690",25,29,2,9.050964175847,"2","T","1"
"300","CC1690",25,29,3,6.68788316395077,"2","T","1"
"301","CC1690",25,29,4,6.26250344452791,"2","T","1"
"302","CC1690",25,29,5,5.05437887228997,"2","T","1"
"303","CC1690",25,29,6,8.77759075047065,"2","T","1"
"304","CC1690",25,29,7,13.4578296158453,"2","T","1"
"305","CC1690",25,35,0,17.7389432539501,"2","T",NA
"306","CC1690",25,35,1,17.0764885496747,"2","T",NA
"307","CC1690",25,35,2,15.0326999207214,"2","T",NA
"308","CC1690",25,35,3,10.812383275775,"2","T",NA
"309","CC1690",25,35,4,9.86416190550113,"2","T",NA
"310","CC1690",25,35,5,7.29070197910327,"2","T",NA
"311","CC1690",25,35,6,14.0722346964987,"2","T",NA
"312","CC1690",25,35,7,20.5772259420198,"2","T",NA
"313","CC1690",25,47,0,34.254407057556,"2","T",NA
"314","CC1690",25,47,1,36.6380871776352,"2","T",NA
"315","CC1690",25,47,2,34.0891479931034,"2","T",NA
"316","CC1690",25,47,3,23.2741469352678,"2","T",NA
"317","CC1690",25,47,4,22.4577652471881,"2","T",NA
"318","CC1690",25,47,5,14.6450629346966,"2","T",NA
"319","CC1690",25,47,6,30.6608459008641,"2","T",NA
"320","CC1690",25,47,7,37.7310413482246,"2","T",NA
"321","CC1690",25,53,0,45.4381256981774,"2","T","2"
"322","CC1690",25,53,1,48.7704413488365,"2","T","2"
"323","CC1690",25,53,2,45.5366347441659,"2","T","2"
"324","CC1690",25,53,3,30.2278739058617,"2","T","2"
"325","CC1690",25,53,4,31.6063620448875,"2","T","2"
"326","CC1690",25,53,5,20.4935683096927,"2","T","2"
"327","CC1690",25,53,6,41.5158817915806,"2","T","2"
"328","CC1690",25,53,7,47.3414970018525,"2","T","2"
"329","CC1690",25,59,0,56.6959953657849,"2","T",NA
"330","CC1690",25,59,1,61.3941306789894,"2","T",NA
"331","CC1690",25,59,2,57.4845628226827,"2","T",NA
"332","CC1690",25,59,3,36.1683711268563,"2","T",NA
"333","CC1690",25,59,4,39.9142243240982,"2","T",NA
"334","CC1690",25,59,5,27.6506856586422,"2","T",NA
"335","CC1690",25,59,6,52.6782247400783,"2","T",NA
"336","CC1690",25,59,7,57.049780973621,"2","T",NA
"337","CC1690",25,71,0,78.3903455119082,"2","T",NA
